timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-04-12,2422.5000,2428.0000,2383.0000,2393.2500,2348.1633,525269,0.0000,1.0000
2017-04-11,2417.3000,2443.1001,2406.0000,2419.3000,2373.7227,778892,0.0000,1.0000
2017-04-10,2432.0000,2449.0000,2405.0000,2422.2500,2376.6172,1271632,0.0000,1.0000
2017-04-07,2394.8999,2433.2500,2392.1499,2429.0500,2383.2888,1138506,0.0000,1.0000
2017-04-06,2400.0000,2410.0000,2392.5500,2400.0500,2354.8352,860352,0.0000,1.0000
2017-04-05,2419.8999,2419.8999,2395.0000,2401.2500,2356.0125,1452784,0.0000,1.0000
2017-04-03,2435.0000,2435.0000,2408.2000,2411.7000,2366.2659,598444,0.0000,1.0000
2017-03-31,2438.3999,2440.8501,2415.0000,2431.8000,2385.9873,933522,0.0000,1.0000
2017-03-30,2444.8999,2465.0000,2435.0000,2441.0000,2395.0137,1493043,0.0000,1.0000
2017-03-29,2436.0000,2450.8000,2425.6001,2444.6001,2398.5461,858882,0.0000,1.0000
2017-03-28,2410.0000,2443.3999,2410.0000,2429.9500,2384.1721,576579,0.0000,1.0000
